id,date,attendance,year,month,week,lag1,lag4,roll4,delta1,delta4,is_summer,is_holiday_season,church_event,is_fast_sunday,created_at,created_by,updated_at,high_temp,low_temp,rainfall,snowfall,group_id
0214d873-7e77-45ff-938e-9fa0d3e80197,2026-02-15,164,2026,2,7,158,155,160,-10,-1,0,0,None,0,2026-05-17 16:51:31.792323,cachy.coder@gmail.com,2026-05-17 16:51:31.792323,83,61,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
066de9d7-918a-47ad-be69-d5dcb8831dd9,2024-02-04,147,2024,2,6,139,0,0,-4,0,0,0,None,1,2026-03-29 19:34:41.984589,,2026-03-29 19:34:41.984589,28.31,50.99,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
099f2a67-689b-496b-b33c-f7e4e92adb28,2025-07-27,146,2025,7,31,148,144,151.75,-22,2,1,0,None,0,2026-03-29 19:34:41.984589,,2026-03-29 19:34:41.984589,75.83,84.74,8.900003,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
0d8c92a4-0cc5-4c4f-a7bc-f65036620626,2026-03-15,174,2026,3,11,164,178,156.75,34,-4,0,0,None,0,2026-04-12 17:00:04.874124,cachy.coder@gmail.com,2026-04-12 17:00:04.874124,65,55,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
133c661c-bf47-469e-8419-ff0a6087e6f7,2024-03-17,149,2024,3,12,153,139,157.25,-22,10,0,0,None,0,2026-03-29 19:34:41.984589,,2026-03-29 19:34:41.984589,33.71,45.05,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
1389cad3-bb99-4e32-a19e-eea4f5f704e1,2026-04-19,152,2026,4,16,164,155,155.75,34,-3,0,0,None,0,2026-04-19 20:43:29.044209,cachy.coder@gmail.com,2026-04-19 20:43:29.044209,57,35,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
17b7dbd4-310a-46d7-ba13-3876d5ad0170,2024-08-04,169,2024,8,32,154,145,153.25,-2,24,1,0,None,1,2026-03-29 19:34:41.984589,,2026-03-29 19:34:41.984589,66.92,85.73,0.2,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
191a7df5-c022-46de-98ca-8a819ba4e7b1,2026-01-04,180,2026,1,1,158,155,160,-10,25,0,0,None,1,2026-05-17 16:50:53.53271,cachy.coder@gmail.com,2026-05-17 16:50:53.53271,83,61,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
1b7d6e58-2140-431c-acb2-ee23344877f0,2026-03-01,178,2026,3,9,164,154,151.5,34,24,0,0,None,1,2026-04-12 16:59:21.636056,cachy.coder@gmail.com,2026-04-12 16:59:21.636056,38.03,28.67,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
20496f0d-ba90-4ae0-b2b7-bfb83f7606ce,2026-02-08,158,2026,2,6,164,188,159,34,-30,0,0,None,0,2026-04-12 16:58:53.121819,cachy.coder@gmail.com,2026-04-12 16:58:53.121819,24.71,15.08,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
22047bf0-8880-4cdb-8131-63d2e316d97e,2024-03-03,175,2024,3,10,162,147,147.5,23,28,0,0,None,1,2026-03-29 19:34:41.984589,,2026-03-29 19:34:41.984589,38.48,66.74,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
2af33eb6-871d-4a8f-9b2d-4559c72e5b1f,2025-07-06,145,2025,7,28,144,151,151.5,6,-6,1,0,None,1,2026-03-29 19:34:41.984589,,2026-03-29 19:34:41.984589,72.77,87.89,11,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
2b49a284-a7f9-405a-9293-a2db5b642633,2024-01-21,143,2024,1,4,158,0,0,158,0,0,0,None,0,2026-03-29 19:34:41.984589,,2026-03-29 19:34:41.984589,3.919998,26.51,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
34d4d951-95e0-4361-9c82-38cd5e474e46,2025-04-27,179,2025,4,18,202,163,175.5,27,16,0,0,None,0,2026-03-29 19:34:41.984589,,2026-03-29 19:34:41.984589,42.08,63.86,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
354e9a35-bbac-4f88-a401-06958794a885,2024-04-28,163,2024,4,18,175,158,162.75,28,5,0,0,None,0,2026-03-29 19:34:41.984589,,2026-03-29 19:34:41.984589,63.95,78.53,0.3,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
3b765485-5be6-41e8-a971-081d54bc572a,2025-01-26,167,2025,1,5,161,180,167,-12,-13,0,0,None,0,2026-03-29 19:34:41.984589,,2026-03-29 19:34:41.984589,19.94,32.45,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
3d554565-f869-4180-aa19-12b34c1e7c42,2024-09-22,153,2024,9,39,146,123,136,9,30,0,0,None,0,2026-03-29 19:34:41.984589,,2026-03-29 19:34:41.984589,66.11,74.93,7,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
3d9af414-8b7b-4d2d-b065-a1ad902dc3b3,2024-06-09,147,2024,6,24,164,175,181.75,-61,-28,1,0,None,0,2026-03-29 19:34:41.984589,,2026-03-29 19:34:41.984589,55.94,77.54,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
414cf02f-92e3-42b3-9a2a-31ed4b857e94,2025-07-20,148,2025,7,30,170,138,149.25,25,10,1,0,None,0,2026-03-29 19:34:41.984589,,2026-03-29 19:34:41.984589,73.13001,85.82,2.8,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
44f6271c-a4ca-4f08-b506-cd1b6457d061,2024-03-10,153,2024,3,11,175,142,154.5,13,11,0,0,None,0,2026-03-29 19:34:41.984589,,2026-03-29 19:34:41.984589,28.85,44.33,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
45752d51-2565-4d26-bb94-ed2bea0b502e,2026-05-17,158,2026,5,20,168,152,158.5,9,6,0,0,None,0,2026-05-17 16:45:54.029505,cachy.coder@gmail.com,2026-05-17 16:45:54.029505,83,61,0,0,1722d6d5-bdf9-4706-bedd-53bf1aebaa21
